id,signal_ratio,distinct_1_ratio,distinct_2_ratio,distinct_3_ratio,distinct_4_ratio,top_k_mass_ratio,windowed_jaccard,longest_repeat_ratio,llm_judge_score
math-test-test-0-0,0.4903047091412742,0.1772853185595568,0.3888888888888889,0.5710306406685237,0.6787709497206704,0.2833333333333333,0.3871720648829083,0.055401662049861494,0.353515625
math-test-test-1-0,0.5519287833827893,0.22255192878338279,0.49404761904761907,0.6447761194029851,0.7275449101796407,0.25595238095238093,0.22088564648440462,0.04451038575667656,0.3203125
math-test-test-2-0,0.3425076452599388,0.28134556574923547,0.49693251533742333,0.6338461538461538,0.7222222222222222,0.2147239263803681,0.1975433651047538,0.06116207951070336,0.3046875
math-test-test-3-0,0.30697674418604654,0.3953488372093023,0.6542056074766355,0.8075117370892019,0.8867924528301887,0.21495327102803738,0.06697877652933833,0.07441860465116279,0.2109375
math-test-test-4-0,0.47953216374269003,0.23684210526315788,0.5043988269794721,0.6882352941176471,0.7876106194690266,0.21994134897360704,0.24855119093468694,0.04678362573099415,0.373046875
math-test-test-5-0,0.4393939393939394,0.14444444444444443,0.3134479271991911,0.4797570850202429,0.601823708206687,0.24974721941354905,0.28947552355154593,0.020202020202020204,0.734375
math-test-test-6-0,0.43915343915343913,0.3492063492063492,0.5691489361702128,0.7058823529411765,0.7956989247311828,0.30851063829787234,0.07407407407407407,0.0582010582010582,0.166015625
math-test-test-7-0,0.36486486486486486,0.24324324324324326,0.4479638009049774,0.6090909090909091,0.730593607305936,0.31221719457013575,0.40617551462621887,0.05405405405405406,0.275390625
math-test-test-8-0,0.4805194805194805,0.2077922077922078,0.4755700325732899,0.6830065359477124,0.8032786885245902,0.23452768729641693,0.1737468671679198,0.04220779220779221,0.39453125
math-test-test-9-0,0.3345724907063197,0.18773234200743494,0.40037243947858475,0.5783582089552238,0.6934579439252336,0.2532588454376164,0.2491918712156807,0.03531598513011153,0.439453125
math-test-test-10-0,0.5228758169934641,0.21241830065359477,0.43278688524590164,0.5789473684210527,0.6798679867986799,0.33114754098360655,0.3256952604778692,0.05555555555555555,0.34375
math-test-test-11-0,0.49595687331536387,0.20485175202156333,0.4756756756756757,0.6883468834688347,0.8342391304347826,0.26756756756756755,0.17752901392141898,0.02425876010781671,0.3984375
math-test-test-12-0,0.6118721461187214,0.1643835616438356,0.37299771167048057,0.5045871559633027,0.5770114942528736,0.42105263157894735,0.19660714285714284,0.045662100456621,0.4453125
math-test-test-13-0,0.5537974683544303,0.17721518987341772,0.43174603174603177,0.6146496815286624,0.7092651757188498,0.3111111111111111,0.23024270022046153,0.04430379746835443,0.384765625
math-test-test-14-0,0.4350282485875706,0.2937853107344633,0.5738636363636364,0.7371428571428571,0.8563218390804598,0.3465909090909091,0.12658227848101267,0.05084745762711865,0.1806640625
math-test-test-15-0,0.38636363636363635,0.22272727272727272,0.4383561643835616,0.573394495412844,0.6820276497695853,0.365296803652968,0.27740641711229946,0.06818181818181818,0.201171875
math-test-test-16-0,0.3352272727272727,0.30113636363636365,0.5485714285714286,0.7126436781609196,0.8092485549132948,0.30857142857142855,0.2236842105263158,0.056818181818181816,0.0888671875
math-test-test-17-0,0.5572687224669604,0.1211453744493392,0.27593818984547464,0.40707964601769914,0.516629711751663,0.36644591611479027,0.27521546008982595,0.04405286343612335,0.578125
math-test-test-18-0,0.37,0.275,0.5728643216080402,0.7676767676767676,0.868020304568528,0.3165829145728643,0.18211120064464142,0.04,0.1865234375
math-test-test-19-0,0.36523929471032746,0.21158690176322417,0.4444444444444444,0.6278481012658228,0.7461928934010152,0.2474747474747475,0.2695100961780364,0.037783375314861464,0.3046875
math-test-test-20-0,0.496,0.32,0.5725806451612904,0.7398373983739838,0.8770491803278688,0.3548387096774194,0.0,0.048,0.1806640625
math-test-test-21-0,0.37799043062200954,0.35406698564593303,0.6442307692307693,0.7922705314009661,0.8786407766990292,0.2403846153846154,0.13469785575048732,0.0430622009569378,0.2265625
math-test-test-22-0,0.46120689655172414,0.31896551724137934,0.5670995670995671,0.7304347826086957,0.834061135371179,0.2727272727272727,0.10793172690763053,0.04741379310344827,0.2197265625
math-test-test-23-0,0.3360655737704918,0.2459016393442623,0.49382716049382713,0.6528925619834711,0.7717842323651453,0.25925925925925924,0.26243781094527363,0.040983606557377046,0.1748046875
math-test-test-24-0,0.49166666666666664,0.18611111111111112,0.34540389972144847,0.4664804469273743,0.5546218487394958,0.4428969359331476,0.24062713602187286,0.05277777777777778,0.37890625
math-test-test-27-0,0.48672566371681414,0.34513274336283184,0.6071428571428571,0.7837837837837838,0.9090909090909091,0.30357142857142855,0.0,0.05309734513274336,0.1953125
